Sample_ID;Site;Country;Region;Stream;Vegetation;Mesh;LeafLeafLeaf;MonoMix;LeafLeaf;EA_N_Percent_corr;EA_C_Percent_corr;molar_CN;log_molar_CN;N_Loss;C_Loss;Fungal_Biom_Leaf_mgg_noRR_1;k_corr1;Delta15_N_Air;Delta13_C_VPDB;Delta_logCN_abs;ID;Group
TI4A360;TI4A;Switzerland;South;TI4;non-forested;Coarse;Ash;Mix;AshMix;2.78;44.79;18.78900465;2.93327184;29.52865986;57.90385426;93.60441018;0.009271239;-1.13;-31.1;-0.54015916;TI4A360AshMix;Mixnon-forestedCoarse
TI4F361;TI4F;Switzerland;South;TI4;forested;Fine;Alder;Mono;AlderMono;2.78;48.57;20.37468087;3.014292996;14.23126668;33.61592923;51.46162702;0.004417006;-1.58;-29.04;-0.257593004;TI4F361AlderMono;MonoforestedFine
TI4F362;TI4F;Switzerland;South;TI4;forested;Fine;Alder;Mono;AlderMono;3.09;48.28;18.22117124;2.902584173;8.769215562;36.85168484;66.63283793;0.004891335;-1.76;-29.46;-0.369301827;TI4F362AlderMono;MonoforestedFine
TI4F365;TI4F;Switzerland;South;TI4;forested;Fine;Ash;Mono;AshMono;2.59;43.62;19.64053912;2.977595752;15.18199863;47.03762292;91.03376788;0.007083148;-1.46;-30.4;-0.495835248;TI4F365AshMono;MonoforestedFine
TI4F366;TI4F;Switzerland;South;TI4;forested;Fine;Ash;Mono;AshMono;2.62;42.35;18.85035922;2.936531971;17.64957611;50.64723381;77.85566549;0.007525752;-1.65;-31.03;-0.536899029;TI4F366AshMono;MonoforestedFine
TI4F367;TI4F;Switzerland;South;TI4;forested;Fine;Ash;Mono;AshMono;2.69;44.55;19.3135868;2.960808828;10.98327782;45.34114069;73.67680339;0.006970632;-1.4;-31.14;-0.512622172;TI4F367AshMono;MonoforestedFine
TI4F368;TI4F;Switzerland;South;TI4;forested;Fine;Ash;Mono;AshMono;2.79;45.97;19.21488581;2.955685281;17.59314055;49.65837837;88.63268409;0.008196357;-1.49;-30.69;-0.517745719;TI4F368AshMono;MonoforestedFine
TI4F369;TI4F;Switzerland;South;TI4;forested;Fine;Alder;Mix;AlderMix;3.21;48.77;17.71802176;2.8745823;8.432815685;38.36900777;70.50569309;0.00526253;-1.66;-28.69;-0.3973037;TI4F369AlderMix;MixforestedFine
TI4F369;TI4F;Switzerland;South;TI4;forested;Fine;Ash;Mix;AshMix;2.84;45.75;18.78625728;2.933125607;19.71296276;52.04744772;107.1718695;0.008668967;-1.54;-30.7;-0.540305393;TI4F369AshMix;MixforestedFine
TG1F36;TG1F;Switzerland;North;TG1;forested;Fine;Alder;Mix;AlderMix;2.96;44.97;17.71734671;2.8745442;4.181484302;35.51002743;86.84894563;0.003380929;-0.09;-29.57;-0.3973418;TG1F36AlderMix;MixforestedFine
